Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Statement - Else,Firefox 52.0,,2018-07-02 20:40:17,2018-07-02 20:40:21,3.179s,PASSED
closeBrowser,Firefox 52.0,,2018-07-02 20:40:21,2018-07-02 20:40:21,0.194s,PASSED
,,,,,,
Test Cases/DDS-2053/DDS-2890,Firefox 52.0,,2018-07-02 20:40:21,2018-07-02 20:40:21,0.065s,ERROR
callTestCase,Firefox 52.0,,2018-07-02 20:40:21,2018-07-02 20:40:21,0.000s,PASSED
,,,,,,
Test Cases/DDS-2053/DDS-3894 Verify that items marked as favorites should be visible on the favourite section of the online store,Firefox 52.0,,2018-07-02 20:40:21,2018-07-02 20:43:05,2m - 44.391s,FAILED
callTestCase,Firefox 52.0,,2018-07-02 20:40:21,2018-07-02 20:41:19,57.817s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-02 20:41:19,2018-07-02 20:42:12,52.996s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-02 20:42:12,2018-07-02 20:42:22,10.667s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-02 20:42:22,2018-07-02 20:42:33,10.516s,PASSED
Statement - Actual1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/ITEM1 For 2 Row)),Firefox 52.0,,2018-07-02 20:42:33,2018-07-02 20:43:05,32.326s,FAILED
,,,,,,
"Test Cases/DDS-2053/DDS-3895 When the user clicks on the View all under favorites section, user is navigated to a new window listing down all the favorites under each entity",Firefox 52.0,,2018-07-02 20:43:05,2018-07-02 20:44:25,1m - 20.266s,PASSED
callTestCase,Firefox 52.0,,2018-07-02 20:43:05,2018-07-02 20:44:02,57.090s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-02 20:44:02,2018-07-02 20:44:11,8.631s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-02 20:44:11,2018-07-02 20:44:11,0.001s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-02 20:44:11,2018-07-02 20:44:11,0.020s,PASSED
Statement - Actual1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/ITEM1 For 2 Row)),Firefox 52.0,,2018-07-02 20:44:11,2018-07-02 20:44:11,0.032s,PASSED
Statement - Actual2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/Item3 For 3 Row)),Firefox 52.0,,2018-07-02 20:44:11,2018-07-02 20:44:11,0.018s,PASSED
