Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Statement - Exp2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OnlineStorePage/HeaderTab/FavoritesAndPreviouslyUsedTab/Verify Item3)),Firefox 52.0,,2018-07-05 21:04:47,2018-07-05 21:04:47,0.034s,PASSED
verifyMatch,Firefox 52.0,,2018-07-05 21:04:47,2018-07-05 21:04:47,0.000s,PASSED
verifyMatch,Firefox 52.0,,2018-07-05 21:04:47,2018-07-05 21:04:47,0.001s,PASSED
,,,,,,
Test Cases/DDS-2053/DDS-3901 Verify that the item name should be a hyperlink which will navigate to the item details pop-up with the following information Specifications,Firefox 52.0,,2018-07-05 21:04:47,2018-07-05 21:06:06,1m - 18.903s,PASSED
callTestCase,Firefox 52.0,,2018-07-05 21:04:48,2018-07-05 21:05:44,56.439s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:05:44,2018-07-05 21:05:53,9.450s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:05:53,2018-07-05 21:05:53,0.017s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:05:53,2018-07-05 21:05:54,0.012s,PASSED
Statement - Actual1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/ITEM1 For 2 Row)),Firefox 52.0,,2018-07-05 21:05:54,2018-07-05 21:05:54,0.031s,PASSED
Statement - Actual2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/Item3 For 3 Row)),Firefox 52.0,,2018-07-05 21:05:54,2018-07-05 21:05:54,0.026s,PASSED
"Statement - Attribute1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For ITEM1), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-05 21:05:54,2018-07-05 21:05:54,0.024s,PASSED
